file	article_id	action	detail
articles.csv	f87950fdd30b	removed	collected_at=2026-09-03 23:33:01
articles.csv	f2fed1238e2e	removed	collected_at=2026-09-03 23:29:22
articles.csv	2088ce6c8ee5	removed	collected_at=2026-09-03 23:29:37
articles.csv	f0b7aa73b9e4	removed	collected_at=2026-09-03 23:29:37
articles.csv	2f61c2082a6b	removed	collected_at=2026-09-03 23:29:41
articles.csv	7aaaeb644215	removed	collected_at=2026-09-03 23:29:46
articles.csv	8ae93b41deb4	removed	collected_at=2026-09-03 23:29:47
articles.csv	79e3fbd89e3f	removed	collected_at=2026-09-03 23:29:48
articles.csv	04bc3d189844	removed	collected_at=2026-09-03 23:30:03
articles.csv	9ad555463986	removed	collected_at=2026-09-03 23:30:15
articles.csv	570380a961da	removed	collected_at=2026-09-03 23:30:34
articles.csv	5696f3e4a26b	removed	collected_at=2026-09-03 23:31:17
articles.csv	08cb562dcb0e	removed	collected_at=2026-09-03 23:31:51
articles.csv	a8d257d40360	removed	collected_at=2026-09-03 23:32:04
articles.csv	e2dfeba2b7a0	removed	collected_at=2026-09-03 23:32:04
articles.csv	96255dea459b	removed	collected_at=2026-09-03 23:32:04
articles.csv	0b35a18fe530	removed	collected_at=2026-09-03 23:32:04
articles.csv	8752699ad22a	removed	collected_at=2026-09-03 23:32:05
articles.csv	654f7a43f761	removed	collected_at=2026-09-03 23:32:06
articles.csv	65510deace24	removed	collected_at=2026-09-03 23:32:06
articles.csv	08327db0954c	removed	collected_at=2026-09-03 23:32:06
articles.csv	26d17105e418	removed	collected_at=2026-09-03 23:32:25
articles.csv	62422cb99d4a	removed	collected_at=2026-09-03 23:32:26
articles.csv	ee7307599758	removed	collected_at=2026-09-03 23:32:35
articles.csv	982e0e78e017	removed	collected_at=2026-09-03 23:32:36
articles.csv	b24df10fe2fe	removed	collected_at=2026-09-03 23:32:36
articles.csv	b969cad2b7e4	removed	collected_at=2026-09-03 23:32:37
articles.csv	9613899cd779	removed	collected_at=2026-09-03 23:32:46
articles.csv	a9ad8105f567	removed	collected_at=2026-09-03 23:32:46
articles.csv	0823db37458a	removed	collected_at=2026-09-03 23:32:46
articles.csv	133413317dc2	removed	collected_at=2026-09-03 23:32:46
articles.csv	0cd6fe18ca86	removed	collected_at=2026-09-03 23:32:46
articles.csv	c0d96998e7a9	removed	collected_at=2026-09-03 23:32:46
articles.csv	7c802401d435	removed	collected_at=2026-09-03 23:32:46
articles.csv	07a4bbdf86a7	removed	collected_at=2026-09-03 23:32:46
articles.csv	9565bac9416e	removed	collected_at=2026-09-03 23:32:46
articles.csv	d096cf393981	removed	collected_at=2026-09-03 23:32:46
articles.csv	b77090471c07	removed	collected_at=2026-09-03 23:32:46
articles.csv	4ae440f7bd4d	removed	collected_at=2026-09-03 23:32:46
articles.csv	cb0c331e5372	removed	collected_at=2026-09-03 23:32:46
articles.csv	8068605e0791	removed	collected_at=2026-09-03 23:32:46
articles.csv	156cb6050461	removed	collected_at=2026-09-03 23:32:49
articles.csv	eff71c1e6f52	removed	collected_at=2026-09-03 23:32:49
articles.csv	3bfdbe5c6e8f	removed	collected_at=2026-09-03 23:32:53
articles.csv	47569b81316a	removed	collected_at=2026-09-03 23:32:55
articles.csv	2c20f393c8de	removed	collected_at=2026-09-03 23:32:59
articles.csv	6689f6c93974	removed	collected_at=2026-09-03 23:33:01
articles.csv	02be527a6cb4	removed	collected_at=2026-09-03 23:33:01
articles.csv	847d8c607407	removed	collected_at=2026-09-03 23:33:02
articles.csv	99c4ef996016	removed	collected_at=2026-09-03 23:33:02
articles.csv	0a58a6ece8f5	removed	collected_at=2026-09-03 23:33:02

# --- dedupe_remaining_23.py 실행분 (23건 잔여 중복 정리) ---
archive/2026-06.csv	26ca3af74fe2	removed	rule=A	collected_at=2026-09-03 23:32:32	source=Player — JLL	kept_collected_at=2026-09-03 21:04:11	note=최초 collected_at 유지
archive/2026-07.csv	573cb29a9868	removed	rule=A	collected_at=2026-09-03 23:31:41	source=Student Housing — University of Southern Mississippi (MS)	kept_collected_at=2026-09-03 21:03:21	note=최초 collected_at 유지
archive/2026-07.csv	2a3ab9a0ae36	removed	rule=A	collected_at=2026-09-03 23:32:30	source=Player — Walker & Dunlop	kept_collected_at=2026-09-03 21:04:09	note=최초 collected_at 유지
archive/2026-07.csv	7c1e66e3c245	removed	rule=A	collected_at=2026-09-03 23:32:30	source=Player — Walker & Dunlop	kept_collected_at=2026-09-03 21:04:09	note=최초 collected_at 유지
archive/2026-08.csv	c4465b1e576a	removed	rule=A	collected_at=2026-09-03 23:29:35	source=Student Housing — Purdue University (IN)	kept_collected_at=2026-09-03 21:01:16	note=최초 collected_at 유지
archive/2026-08.csv	a3f7440eb6bb	removed	rule=A	collected_at=2026-09-03 23:29:46	source=Student Housing — Florida State University (FL)	kept_collected_at=2026-09-03 21:01:27	note=최초 collected_at 유지
archive/2026-08.csv	1b98b8216dac	removed	rule=A	collected_at=2026-09-03 23:32:19	source=Player — Greystar	kept_collected_at=2026-09-03 21:03:58	note=최초 collected_at 유지
archive/2026-08.csv	f23f9bf82023	removed	rule=A	collected_at=2026-09-03 23:32:21	source=Player — Hawkins Way Capital	kept_collected_at=2026-09-03 21:04:00	note=최초 collected_at 유지
archive/2026-08.csv	7639b49a52a5	removed	rule=A	collected_at=2026-09-03 23:32:21	source=Player — Hawkins Way Capital	kept_collected_at=2026-09-03 21:04:00	note=최초 collected_at 유지
